Time Bucket (America/Edmonton),Jasper Ave -Circuit_1 (kWatts),Jasper Ave -Circuit_2 (kWatts),Jasper Ave -Circuit_3 (kWatts),Jasper Ave -Circuit_4 (kWatts),Jasper Ave -Circuit_5 (kWatts),Jasper Ave -Circuit_10 (kWatts),Jasper Ave -Circuit_11 (kWatts)
01/25/2023 22:56:00,0.0072,0.0000,0.0117,0.0000,0.2105,0.0000,0.0000
01/25/2023 22:57:00,0.0069,0.0000,0.0115,0.0001,0.2096,0.0000,0.0000
01/25/2023 22:58:00,0.0070,0.0000,0.0116,0.0000,0.2076,0.0000,0.0000
01/25/2023 22:59:00,0.0066,0.0000,0.0115,0.0000,0.2083,0.0000,0.0000
01/25/2023 23:00:00,0.0068,0.0000,0.0117,0.0000,0.2053,0.0000,0.0000
01/25/2023 23:01:00,0.0070,0.0000,0.0115,0.0000,0.2107,0.0000,0.0000
01/25/2023 23:02:00,0.0069,0.0000,0.0116,0.0000,0.2082,0.0000,0.0000
01/25/2023 23:03:00,0.0070,0.0000,0.0115,0.0000,0.2085,0.0000,0.0000
01/25/2023 23:04:00,0.0070,0.0000,0.0117,0.0000,0.2102,0.0000,0.0000
01/25/2023 23:05:00,0.0067,0.0000,0.0116,0.0000,0.2097,0.0000,0.0000
01/25/2023 23:06:00,0.0071,0.0000,0.0117,0.0000,0.2091,0.0000,0.0000
01/25/2023 23:07:00,0.0070,0.0000,0.0117,0.0000,0.2080,0.0000,0.0000
01/25/2023 23:08:00,0.0068,0.0000,0.0115,0.0000,0.2100,0.0000,0.0000
01/25/2023 23:09:00,0.0067,0.0000,0.0118,0.0000,0.2108,0.0000,0.0000
01/25/2023 23:10:00,0.0068,0.0000,0.0116,0.0000,0.2137,0.0000,0.0000
01/25/2023 23:11:00,0.0070,0.0000,0.0115,0.0000,0.1568,0.0000,0.0000
01/25/2023 23:12:00,0.0072,0.0000,0.0116,0.0000,0.1174,0.0000,0.0000
01/25/2023 23:13:00,0.0071,0.0000,0.0115,0.0000,0.1174,0.0000,0.0000
01/25/2023 23:14:00,0.0070,0.0000,0.0115,0.0000,0.0916,0.0000,0.0000
